0	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
170	0.35909	Why are whaling ships always well-lit?	Free access to oil	
 24	0.30413	Ishmael likens the right whale to a stoic philosopher and the sperm whale to what other kind of philosopher? 	Platonic	0
 90	0.26056	What is the study of whales called?	Cetology	
 94	0.24565	What real ship, attacked and sunk by a sperm whale, inspired Melville's story?	The Essex	
 14	0.24558	How do live whales smell, according to Ishmael?	Pleasantly musky	2
102	0.24558	What was the sperm whale most highly prized for?	Spermaceti and sperm oil, used as lamp oil, among other uses	
 51	0.23079	What does Ishmael compare to the huge case of high-quality oil in a sperm whale's head?	A massive wine barrel	

1	According to Ishmael, what is the wealth of New Bedford built upon?	Whale oil	2
147	0.30322	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 14	0.22576	How do live whales smell, according to Ishmael?	Pleasantly musky	2
  2	0.17078	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	14
  3	0.15976	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14
  4	0.14292	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 64	0.11522	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 82	0.11522	What is the name of Ishmael's unlikely roommate and bedfellow?	Queequeg	

2	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	14
 14	0.31711	How do live whales smell, according to Ishmael?	Pleasantly musky	2
147	0.25970	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
  3	0.21693	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14
 51	0.20380	What does Ishmael compare to the huge case of high-quality oil in a sperm whale's head?	A massive wine barrel	
 50	0.19087	What does Ishmael claim is the most famous part of a whale?	Its tail	
  0	0.18577	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
  1	0.17078	According to Ishmael, what is the wealth of New Bedford built upon?	Whale oil	2

3	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14
 14	0.29527	How do live whales smell, according to Ishmael?	Pleasantly musky	2
147	0.24396	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
157	0.24396	Who is Stubb?	Second mate of the Pequod; from Cape Cod	3
  2	0.21693	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	14
 50	0.17857	What does Ishmael claim is the most famous part of a whale?	Its tail	
  0	0.17379	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
  1	0.15976	According to Ishmael, what is the wealth of New Bedford built upon?	Whale oil	2

4	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
153	0.47368	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
151	0.31800	Who is Peter Coffin?	The deathly-named innkeeper of the Spouter Inn at New Bedford.	
 23	0.28070	Ishmael decides he likes the fact that Queequeg is a pagan because Queequeg lacks a Christian's what?	Hollow courtesies	153
 22	0.25958	In what state does Ishmael meet Queequeg?	Massachusetts	4
100	0.25958	What was Queequeg on his home island?	A prince	
