1	According to Ishmael, what is the wealth of New Bedford built upon?	Whale oil	211
201	For what were the whales hunted?	Oil	1
2	According to Ishmael, which whale produces the best, purest, and sweetest of oils?	Sperm whale	212
202	What whales are most valuable?	Sperm whales	2
3	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	213
203	Who eats whale meat?	Stubb and the Eskimos	3
4	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	214
204	What does Ishmael's roommate Queequeg do for money?
5	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	215
205	What was Herman Melville's first job?	Working in a bank	5
6	After the whale carcass is cut loose from the ship, who are the "mourners" at its "funeral?"	Sharks and vultures	0
206	What happens when a dead whale is abandoned?	Vultures and sharks come eat it.	6
7	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	217
207	What is the Pequod named after?	A dead Indian nation in the Massachusetts Colony	7
8	Ahab claims that, "The path to my fixed purpose is laid" with what?	Iron rails	218
208	What does Ahab say keeps him going?	An iron path	8
9	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	219
209	Why does Ahab give his quarters to the deranged Pip?	Pip moves him	9
10	Before the Pequod had even left Nantucket, Ahab's fake leg had twisted around and very nearly done what?	Pierced his groin	210
210	How does Ahab nearly get hurt before leaving Nantucket?	His pegleg twists back on him	10
11	During the first part of the voyage, what kind of sounds do the crew think they hear from the cargo hold?	Human beings	221
211	What sounds do the crew hear coming from below decks?	Hidden people	11
12	For what were whales primarily hunted?	Oil	222	
212	Why did whalers hunt their quarry?	12
13	From what is Ahab's false leg made?	A whale's jawbone	223
213	What is Ahab's prosthetic made of?	A whale's jawbone	13
14	How do live whales smell, according to Ishmael?	Pleasantly musky	214
214	What do whales smell like to Ishmael?	Musk	14
15	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	215
215	Why does Queequeg harpoon a small target?	To impress the men hiring the crew for the Pequod	15
16	How does Queequeg shave?	With a harpoon	216
216	With what does Queequeg shave?	With a harpoon	16
17	How does the Pequod sink?	She is rammed by Moby Dick. 	217
217	when does the Pequod sink?	After Moby Dick rams her 	17
18	How is the Pequod decorated?	With whale bones	218
218	What decorates the Pequod?	Whale bones	18
19	How many of the Pequod's crew survive their encounter with Moby Dick?	One	219
219	Who among the Pequod's crew survives their encounter with Moby Dick?	Ishmael	19
20	How old was Herman Melville when he made his first sea voyage as a merchant sailor?	220	5
220	How old was Herman Melville when he made his first sea voyage as a merchant sailor?	20	5
21	In what decade did historians rediscover and promote the previously ignored Moby Dick as a seminal work of American literature?	1920's	210
221	When was Moby Dick repopularized and promoted to the canon of American literature?	The nineteen-twenties's	21
22	In what state does Ishmael meet Queequeg?	Massachusetts	222
222	Where did  Ishmael meet Queequeg?	New Bedford, Massachusetts	22
23	Ishmael decides he likes the fact that Queequeg is a pagan because Queequeg lacks a Christian's what?	Hollow courtesies	223
223	Which a native of Kokovoko in the Fiji islands and an expert harpooner, despite his religion and customs, is able to develop a bond with Ishmael?	Queequeg	23
24	Ishmael likens the right whale to a stoic philosopher and the sperm whale to what other kind of philosopher? 	Platonic	224
224	Ishmael likens the sperm whale to a Platonic philosopher and the right whale to what other kind of philosopher? 	Stoic	24
25	Ishmael reflects that traveling around the world to hunt whales really amounts to what?	Going in circles	225
225	Where, according to Ishmael, are whales hunted?	All around the world	25
26	Ishmael thinks Buckington is fated to die at sea, but that such a death will transform Buckington into what?	God	224
226	What does Ishmael think Buckington will become after he dies at sea?	God	26
27	Out of what is Fedallah's turban made?	His hair	69
28	Over the course of the voyage, Ahab destroys all of what?	The navigation equipment	228
228	What does Ahab destroy piece by piece throughout the voyage?	The navigation equipment	28
29	Pip describes the doubloon on the mast as the ship's what?	Navel	45
229	Who wins the doubloon that Pip calls the ship's navel from the main the mast?	Ahab	29
30	Queequeg is a native of what island?	Kokovoko	230
230	What is the name of Queequeg's native island?	Kokovoko	30
31	The crew believes that they saw mermaids in the night, but Ahab says that there were actually what?	Seals	231
231	What did the crew see at night, thay they thought were mermaids, but Ahab said were just animals?   Seals 31
32	The fact that Ahab is using the Pequod for a different purpose than its owners intended means he could be charged with what?	Usurpation	232
232	What is Ahab's crime of usurpation?  Using the Pequod to chase Moby Dick, which was not what its owners intended
33	The name of the First Mate is?	Starbuck.	233
233	Who is the First Mate?	Starbuck.	33
34	There once was a time when the "specksynder" or chief harpooner served as what?	The captain of the vessel	234
234	What is a "specksynder"?	The chief harpooner and sometime captain 	34
35	To what does Ishmael liken the experience of shipping aboard a whaler?	Committing suicide	235
235	Ishmael compares shipping out on  a whale ship to committing what?  Suicide	35
36	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	336
26	Who are the first, second, and third mates' aboard the Pequod?	Starbuck, Stubbs, Flask	36
37	What causes Ahab's harpoon to flicker with fire?	Atmospheric static	237
237	Why does Ahab's harpoon to flicker and spark with fire-like electricity?	Atmospheric static	37
38	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	238
238	What does Ishmael think is abhorrent, unnatural and frightening when on an animal?	The color white	38
39	What covers Queequeg's skin?	Tattoos	239
239	Queequeg is covered with what?	Tattoos	39
40	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	240
240	When the crew cut open an blind, old, mishapen whale, what do they find?	A stone harpoon head	40
41	What does Ahab carry in his pocket?	Vial of Nantucket sand	241
241	What's in the vial in Ahab's pocket?	Nantucket sand	41
42	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	242
242	What does Ahab nail to the ship's mast as motivation for his crew to find Moby Dick?	A gold doubloon	42
43	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	243
243	What prize does Ahab offer to the first one to spy Moby Dick?	A gold doubloon	43
44	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	244
244	When does Ahab see what he thinks is the "first hearse" prophesied by Fedallah?	Fedallah lashed to Moby Dick	44
45	What does Ahab see when he studies the gold doubloon nailed to the mast?	Himself	245
245	What does Ahab see when he peers at the gold doubloon mounted on the mast?	His own reflection  45
46	What does Captain Boomer want to do since Moby Dick took his arm?	Avoid Moby Dick	246
246	How did Captain Boomer react to losing an arm to Moby Dick?	He avoids Moby Dick	46
47	What does Fedallah prophesize will kill Captain Ahab?	Hemp	247
247	In Fedallah's prophecy, what will kill Captain Ahab?	Hemp	47
48	What does Ishmael call the mysterious spout of water that leads the crew onward, but never turns into a whale?	Spirit-spout	248
248	What phenomenon in the water leads the crew on a chase, but never turns into a whale?	Spirit-spout	48
49	What do male whales do that females don't, according to Ishmael?	Males abandon injured comrades	249
249	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	49

200	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	400
400	What can happen to an unbalanced ship?	It can capsize	200

50	What does Ishmael claim is the most famous part of a whale?	Its tail	175
	 49	0.47433	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	50	
	122	0.38087	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket		
	175	0.38087	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174	
	 52	0.34464	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	183	
	147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	121	0.31711	Where does Ishmael keep a record of whale dimensions that he measured from a skeleton in Tranque?	Tattooed on his arm		

51	What does Ishmael compare to the huge case of high-quality oil in a sperm whale's head?	A massive wine barrel	
	 50	0.27740	What does Ishmael claim is the most famous part of a whale?	Its tail	175	
	122	0.24479	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket		
	175	0.24479	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174	
	  0	0.23079	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94	
	147	0.23077	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	 52	0.22150	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	183	

52	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	183
	183	0.41036	How dangerous is whaling?	Whaling was one of the most dangerous occupations of the 19th century	52	
	 50	0.34464	What does Ishmael claim is the most famous part of a whale?	Its tail	175	
	122	0.30413	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket		
	175	0.30413	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174	
	 12	0.29107	For what were whales primarily hunted?	Oil	98	
	 98	0.29107	What type of whale are they hunting?	Sperm whales	12	

53	What does Ishmael have tattooed on his forearm?	The dimensions of a whale	
	147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	 22	0.25233	In what state does Ishmael meet Queequeg?	Massachusetts	4	
	 41	0.25233	What does Ahab carry in his pocket?	Vial of Nantucket sand	103	
	 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	175	
	 55	0.25233	What does Ishmael use as a life buoy?	Queequeg's coffin		
	180	0.25233	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22	

54	What does Ishmael think men and animals should be judged on, rather than their brains?	Their spines	
	 38	0.36802	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	175	
	175	0.30413	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174	
	147	0.27894	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	174	0.25321	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175	
	173	0.25321	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	194	
	104	0.23577	When Ahab bursts into fits of near-mad shrieking, what does Ishmael think is the cause?	His soul attempting escape		

55	What does Ishmael use as a life buoy?	Queequeg's coffin	
	147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
	 22	0.25233	In what state does Ishmael meet Queequeg?	Massachusetts	4	
	 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	175	
	 53	0.25233	What does Ishmael have tattooed on his forearm?	The dimensions of a whale		
	180	0.25233	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22	
	175	0.22576	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174	

56	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	
	 90	0.29122	What is the study of whales called?	Cetology	12	
	182	0.29122	What do whales eat?	Plankton and other brit		
	183	0.29122	How dangerous is whaling?	Whaling was one of the most dangerous occupations of the 19th century	52	
	 50	0.27627	What does Ishmael claim is the most famous part of a whale?	Its tail	175	
	 59	0.24718	What does the crew look for to indicate the presence of a whale?	Spouts	48	
	122	0.24718	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket		

57	What does Queequeg do when the bumpkin that was mocking him falls into the ocean?	Dives in after him	
	111	0.40735	When Queequeg falls ill, what does he do?	Have his coffin made		
	 16	0.29107	How does Queequeg shave?	With a harpoon	178	
	178	0.29107	With what does Queequeg sleep?	His harpoon	16	
	153	0.27894	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.		
	 22	0.20614	In what state does Ishmael meet Queequeg?	Massachusetts	4	
	100	0.20614	What was Queequeg on his home island?	A prince	153	

58	What does the Delight drop into the water as the Pequod passes by?	A dead body	
	 17	0.31878	How does the Pequod sink?	She is rammed by Moby Dick. 	92	
	 76	0.30322	What is the Pequod named after?	An extinct Massachusetts Indian tribe		
	164	0.30322	Who owns the Pequod?	Bildad and Peleg	135	
	115	0.26056	When does the Pequod set sail?	Christmas Day		
	 15	0.18443	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16	
	179	0.17579	With what is the Pequod adorned?	Sperm whale teeth	18	

59	What does the crew look for to indicate the presence of a whale?	Spouts	48
	 56	0.24718	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear		
	 48	0.24479	What does Ishmael call the mysterious spout of water that leads the crew onward, but never turns into a whale?	Spirit-spout	59	
	 50	0.22576	What does Ishmael claim is the most famous part of a whale?	Its tail	175	
	 40	0.20199	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	59	
	122	0.20199	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket		
	175	0.20199	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174	

60	Which two characters consider shooting each the other with guns?	Ahab and Starbuck	
	128	0.14438	Which characters survive the Pequod's sinking?	Only Ishmael		
	199	0.14438	Who are the Quaker characters in Moby Dick?	Starbuck, Peleg, and Bildad		
	113	0.12736	When Starbuck sees a row of muskets, what does he consider doing?	Killing Ahab		
	198	0.12736	With what does Starbuck consider killing Ahab?	Musket		
	127	0.12736	Which character is often seen as an allegorical representation of God?	Moby Dick		
	126	0.11522	Which character falls overboard and goes insane as a result?	Pip		

61	What does the mincer wear when slicing pieces of blubber for the pots?	A whale-penis pelt	186
	186	0.55862	Who wears a whale-penis pelt while slicing pieces of blubber for the pots?	The mincer	61	
	178	0.12537	With what does Queequeg sleep?	His harpoon	16	
	 16	0.12537	How does Queequeg shave?	With a harpoon	178	
	 17	0.12537	How does the Pequod sink?	She is rammed by Moby Dick. 	92	
	194	0.10599	What does Ishmail say about himself keeping watch?	He daydreams too much	173	
	195	0.10599	Who wears a turban made of his own hair?	Fedallah's		

62	What does the scar on Ahab's cheek resemble?	A lightning bolt	192
	192	0.43161	Where is Ahab's scar that resembles a lightning bolt?	On Ahab's cheek	62	
	103	0.25958	When Ahab and Starbuck talk about their families, how does Ahab see himself on his relentless quest?	A pathetic fool		
	 41	0.25233	What does Ahab carry in his pocket?	Vial of Nantucket sand	103	
	198	0.25233	With what does Starbuck consider killing Ahab?	Musket		
	105	0.23363	When Ahab has the blacksmith make a special harpoon for Moby Dick, what does Ahab give him for the metal?	Nails from racehorse shoes		
	 44	0.22576	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	47	

63	What experience catalyzed Pip and Ahab's close companionship?	Pip's near-drowning	9
	  9	0.34064	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63	
	152	0.30322	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.		
	131	0.17579	Who are Ahab's mates?	Starbuck, Stubbs, Flask		
	  7	0.17579	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80	
	137	0.17579	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	68	
	 79	0.17579	What is the name of Ahab's harpooner?	Fedallah		

64	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	149
	149	0.57974	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.		
	147	0.37998	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	71	
