176	What is the Pequod named after?	An extinct Massachusetts Indian tribe.	307
	307	0.99952	What is the Pequod named after?	A dead Indian nation in the Massachusetts Colony.	107
	107	0.60045	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts.	307
	417	0.00003	What about the one named Queequeg?	He is a native of Kokovoko in the Fiji islands and an expert harpooner, and despite his religion and customs, he is develops a bond with Ishmael.	200
	183	0.00000	Who is the Pequod's Second Mate?	Stubb.	184
	262	0.00000	Who is the second mate on the Pequod?	Stubb.	183
	318	0.00000	What decorates the Pequod?	Whale bones.	118

307	What is the Pequod named after?	A dead Indian nation in the Massachusetts Colony.	107
	176	0.99952	What is the Pequod named after?	An extinct Massachusetts Indian tribe.	307
	107	0.60045	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts.	307
	417	0.00003	What about the one named Queequeg?	He is a native of Kokovoko in the Fiji islands and an expert harpooner, and despite his religion and customs, he is develops a bond with Ishmael.	200
	183	0.00000	Who is the Pequod's Second Mate?	Stubb.	184
	262	0.00000	Who is the second mate on the Pequod?	Stubb.	183
	318	0.00000	What decorates the Pequod?	Whale bones.	118

183	Who is the Pequod's Second Mate?	Stubb.	184
	262	0.99952	Who is the second mate on the Pequod?	Stubb.	183
	184	0.51722	What is the name of the Second Mate?	Stubb.	262
	333	0.00000	Who is the First Mate?	Starbuck.	133
	133	0.00000	The name of the First Mate is?	Starbuck.	333
	293	0.00000	Who is the third mate?	Flask.	185
	136	0.00000	Who are the Pequod's first, second, and third mates?	Starbuck, Stubb, Flask.	297

262	Who is the second mate on the Pequod?	Stubb.	183
	183	0.99952	Who is the Pequod's Second Mate?	Stubb.	184
	184	0.51722	What is the name of the Second Mate?	Stubb.	262
	333	0.00000	Who is the First Mate?	Starbuck.	133
	133	0.00000	The name of the First Mate is?	Starbuck.	333
	293	0.00000	Who is the third mate?	Flask.	185
	136	0.00000	Who are the Pequod's first, second, and third mates?	Starbuck, Stubb, Flask.	297

127	Out of what is Fedallah's turban made?	His hair.	169
	169	0.99952	What is Fedallah's turban made of?	His own hair.	127
	243	0.00000	Who is Fedallah?	Strange, 'oriental' old Parsee; Ahab's harpooner and personal prophet.	147
	295	0.00000	Who wears a turban made of his own hair?	Fedallah.	397
	397	0.00000	Which crewmember uses a turban made that is made from his own hair?	Fedallah.	295
	347	0.00000	In Fedallah's prophecy, what will kill Captain Ahab?	Hemp.	147
	147	0.00000	What does Fedallah prophesize will kill Captain Ahab?	Hemp.	347

169	What is Fedallah's turban made of?	His own hair.	127
	127	0.99952	Out of what is Fedallah's turban made?	His hair.	169
	243	0.00000	Who is Fedallah?	Strange, 'oriental' old Parsee; Ahab's harpooner and personal prophet.	147
	295	0.00000	Who wears a turban made of his own hair?	Fedallah.	397
